City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,jamestown,42.097,-79.2353,290.92,96,100,3.6,US,1712875471
139,seybaplaya,19.65,-90.6667,300.85,61,69,10.22,MX,1712875501
140,punta arenas,-53.15,-70.9167,282.21,61,0,14.4,CL,1712875502
141,merlo,-32.3429,-65.014,284.82,81,100,4.24,AR,1712875436
142,forster,-32.1667,152.5167,292.2,79,18,2.05,AU,1712875503
143,khovd,48.0056,91.6419,277.53,51,98,0.79,MN,1712875504
144,nuku'alofa,-21.1333,-175.2,302.34,79,40,3.09,TO,1712875426
145,afaahiti,-17.75,-149.2833,303.08,87,89,7.39,PF,1712875474
146,anadyr,64.75,177.4833,259.43,77,0,2.68,RU,1712875506
147,ahlerstedt,53.4,9.45,286.36,96,100,4.29,DE,1712875507
148,kone,-21.0595,164.8658,296.33,87,100,0.01,NC,1712875507
149,imbituba,-28.24,-48.6703,293.94,90,100,4.49,BR,1712875508
150,itoman,26.1247,127.6694,294.87,90,40,1.54,JP,1712875508
151,thompson,55.7435,-97.8558,274.24,75,100,4.12,CA,1712875371
152,cuenca,-2.8833,-78.9833,293.22,45,75,3.6,EC,1712875237
153,quelimane,-17.8786,36.8883,296.94,85,95,3.32,MZ,1712875510
154,murudeshwara,14.0943,74.4845,299.09,77,62,1.22,IN,1712875511
155,taoudenni,22.6783,-3.9836,301.4,10,0,4.79,ML,1712875511
156,nova sintra,14.8667,-24.7167,295.81,76,2,7.38,CV,1712875477
157,portland,45.5234,-122.6762,291.27,42,75,4.02,US,1712875305
158,udachny,66.4167,112.4,247.83,99,100,2.26,RU,1712875485
159,qaqortoq,60.7167,-46.0333,266.08,89,52,1.21,GL,1712875513
160,rio gallegos,-51.6226,-69.2181,284.18,40,0,9.77,AR,1712875481
161,fale old settlement,-9.3852,-171.2468,302.73,76,22,3.87,TK,1712875515
162,abuja,9.0574,7.4898,303.23,26,58,1.12,NG,1712875515
163,shingu,33.7333,135.9833,288.29,77,97,3.71,JP,1712875516
164,constantia,44.1833,28.65,289.65,59,26,3.09,RO,1712875464
165,mili,6.0815,171.735,300.73,83,100,7.67,MH,1712875517
166,saipan,15.1355,145.701,302.54,70,40,6.69,MP,1712875518
167,college,64.8569,-147.8028,280.41,42,75,4.12,US,1712875456
168,puerto baquerizo moreno,-0.9,-89.6,300.7,78,40,5.66,EC,1712875519
169,coquimbo,-29.9533,-71.3436,287.0,94,100,2.57,CL,1712875354
170,kununurra,-15.7667,128.7333,295.14,64,44,2.57,AU,1712875520
171,antsiranana,-12.2787,49.2917,298.01,92,49,1.9,MG,1712875520
172,gleisdorf,47.1061,15.7127,284.89,87,80,1.49,AT,1712875521
173,lompoc,34.6391,-120.4579,295.16,71,0,4.63,US,1712875522
174,choibalsan,48.0667,114.5,279.63,68,81,2.59,MN,1712875522
175,san felice circeo,41.2372,13.0942,290.55,77,100,2.95,IT,1712875523
176,plettenberg bay,-34.0527,23.3716,286.35,70,15,1.68,ZA,1712875450
